Pubchem ID, InChi, InChiKey, Canonical Smiles, Isomeric Smiles
100099,InChI=1S/C7H12N2O5/c8-4(7(13)14)1-2-5(10)9-3-6(11)12/h4H_1-3_8H2_(H_9_10)(H_11_12)(H_13_14),ACIJGUBIMXQCMF-UHFFFAOYSA-N,C(CC(=O)NCC(=O)O)C(C(=O)O)N,C(CC(=O)NCC(=O)O)C(C(=O)O)N
100130,InChI=1S/C10H16N2O7/c11-5(1-3-7(13)14)9(17)12-6(10(18)19)2-4-8(15)16/h5-6H_1-4_11H2_(H_12_17)(H_13_14)(H_15_16)(H_18_19),KOSRFJWDECSPRO-UHFFFAOYSA-N,C(CC(=O)O)C(C(=O)NC(CCC(=O)O)C(=O)O)N,C(CC(=O)O)C(C(=O)NC(CCC(=O)O)C(=O)O)N
100714,InChI=1S/C3H5NO4/c4-1(2(5)6)3(7)8/h1H_4H2_(H_5_6)(H_7_8),JINBYESILADKFW-UHFFFAOYSA-N,C(C(=O)O)(C(=O)O)N,C(C(=O)O)(C(=O)O)N
101399,InChI=1S/C8H7NO3/c10-5-9-7-4-2-1-3-6(7)8(11)12/h1-5H_(H_9_10)(H_11_12),LLLPDUXGHXIXIW-UHFFFAOYSA-N,C1=CC=C(C(=C1)C(=O)O)NC=O,C1=CC=C(C(=C1)C(=O)O)NC=O
101561,InChI=1S/C4H8O4/c5-1-3(7)4(8)2-6/h1_3-4_6-8H_2H2,YTBSYETUWUMLBZ-UHFFFAOYSA-N,C(C(C(C=O)O)O)O,C(C(C(C=O)O)O)O
102018,InChI=1S/C3H10O9P2/c4-1-3(12-14(8_9)10)2-11-13(5_6)7/h3-4H_1-2H2_(H2_5_6_7)(H2_8_9_10),IBPDKUYWDGDBQW-UHFFFAOYSA-N,C(C(COP(=O)(O)O)OP(=O)(O)O)O,C(C(COP(=O)(O)O)OP(=O)(O)O)O
102467,InChI=1S/C7H16N2O2/c1-11-7(10)6(9)4-2-3-5-8/h6H_2-5_8-9H2_1H3,KPNBUPJZFJCCIQ-UHFFFAOYSA-N,COC(=O)C(CCCCN)N,COC(=O)C(CCCCN)N
102699,InChI=1S/C5H9NO4/c1-10-4(7)2-3(6)5(8)9/h3H_2_6H2_1H3_(H_8_9),SBRYFUVVWOMLLP-UHFFFAOYSA-N,COC(=O)CC(C(=O)O)N,COC(=O)CC(C(=O)O)N
102807,InChI=1S/C8H16N4O3/c1-5(13)12-6(7(14)15)3-2-4-11-8(9)10/h6H_2-4H2_1H3_(H_12_13)(H_14_15)(H4_9_10_11),SNEIUMQYRCDYCH-UHFFFAOYSA-N,CC(=O)NC(CCCN=C(N)N)C(=O)O,CC(=O)NC(CCCN=C(N)N)C(=O)O
102901,InChI=1S/C5H13NOS/c1-8-3-2-5(6)4-7/h5_7H_2-4_6H2_1H3,MIQJGZAEWQQAPN-UHFFFAOYSA-N,CSCCC(CO)N,CSCCC(CO)N
102926,InChI=1S/C7H14O7/c8-1-3(10)5(12)7(14)6(13)4(11)2-9/h3_5-10_12-14H_1-2H2,HSNZZMHEPUFJNZ-UHFFFAOYSA-N,C(C(C(C(C(C(=O)CO)O)O)O)O)O,C(C(C(C(C(C(=O)CO)O)O)O)O)O
102929,InChI=1S/C12H19N3O7S/c1-6(16)23-5-8(11(20)14-4-10(18)19)15-9(17)3-2-7(13)12(21)22/h7-8H_2-5_13H2_1H3_(H_14_20)(H_15_17)(H_18_19)(H_21_22),FVRWSIPJNWXCEO-UHFFFAOYSA-N,CC(=O)SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N,CC(=O)SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N
102960,InChI=1S/C9H14N4O3/c1-5(10)8(14)13-7(9(15)16)2-6-3-11-4-12-6/h3-5_7H_2_10H2_1H3_(H_11_12)(H_13_14)(H_15_16),XZWXFWBHYRFLEF-UHFFFAOYSA-N,CC(C(=O)NC(CC1=CN=CN1)C(=O)O)N,CC(C(=O)NC(CC1=CN=CN1)C(=O)O)N
106688,InChI=1S/C4H7NO4/c5-3(7)1-2(6)4(8)9/h2_6H_1H2_(H2_5_7)(H_8_9),RTTYFXMXRFYCHM-UHFFFAOYSA-N,C(C(C(=O)O)O)C(=O)N,C(C(C(=O)O)O)C(=O)N
111314,InChI=1S/C4H9NO2/c1-3(5)4(6)7-2/h3H_5H2_1-2H3,DWKPPFQULDPWHX-UHFFFAOYSA-N,CC(C(=O)OC)N,CC(C(=O)OC)N
114926,InChI=1S/C5H7N5O/c6-4-3(10-2-11)5(7)9-1-8-4/h1-2H_(H_10_11)(H4_6_7_8_9),MVYUVUOSXNYQLL-UHFFFAOYSA-N,C1=NC(=C(C(=N1)N)NC=O)N,C1=NC(=C(C(=N1)N)NC=O)N
121697,InChI=1S/C6H12N2O3S/c1-12-3-2-4(5(9)10)8-6(7)11/h4H_2-3H2_1H3_(H_9_10)(H3_7_8_11),DEWDMTSMCKXBNP-UHFFFAOYSA-N,CSCCC(C(=O)O)NC(=O)N,CSCCC(C(=O)O)NC(=O)N
122205,InChI=1S/C12H14N2O2/c1-16-12(15)10(13)6-8-7-14-11-5-3-2-4-9(8)11/h2-5_7_10_14H_6_13H2_1H3,KCUNTYMNJVXYKZ-UHFFFAOYSA-N,COC(=O)C(CC1=CNC2=CC=CC=C21)N,COC(=O)C(CC1=CNC2=CC=CC=C21)N
122356,InChI=1S/C6H14N2O/c1-6(9)8-5-3-2-4-7/h2-5_7H2_1H3_(H_8_9),KLZGKIDSEJWEDW-UHFFFAOYSA-N,CC(=O)NCCCCN,CC(=O)NCCCCN
122759,InChI=1S/C12H13N3O3/c13-12(18)15-10(11(16)17)5-7-6-14-9-4-2-1-3-8(7)9/h1-4_6_10_14H_5H2_(H_16_17)(H3_13_15_18),NWLXJVDJMARXSP-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)NC(=O)N,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)NC(=O)N
123745,InChI=1S/C6H9O10P/c7-3(8)1-6(5(11)12_2-4(9)10)16-17(13_14)15/h1-2H2_(H_7_8)(H_9_10)(H_11_12)(H2_13_14_15),XTRHYDMWPCTCKN-UHFFFAOYSA-N,C(C(=O)O)C(CC(=O)O)(C(=O)O)OP(=O)(O)O,C(C(=O)O)C(CC(=O)O)(C(=O)O)OP(=O)(O)O
123908,InChI=1S/C6H8O8/c7-2(8)1-6(14_5(12)13)3(9)4(10)11/h3_9_14H_1H2_(H_7_8)(H_10_11)(H_12_13),ZMJBYMUCKBYSCP-UHFFFAOYSA-N,C(C(=O)O)C(C(C(=O)O)O)(C(=O)O)O,C(C(=O)O)C(C(C(=O)O)O)(C(=O)O)O
123991,InChI=1S/C3H5NO2/c1-2(4)3(5)6/h1_4H2_(H_5_6),UQBOJOOOTLPNST-UHFFFAOYSA-N,C=C(C(=O)O)N,C=C(C(=O)O)N
127761,InChI=1S/C6H9N3O3/c7-4(5(10)11)1-3-2-8-6(12)9-3/h2_4H_1_7H2_(H_10_11)(H2_8_9_12),KXHSJJRXZAKKRP-UHFFFAOYSA-N,C1=C(NC(=O)N1)CC(C(=O)O)N,C1=C(NC(=O)N1)CC(C(=O)O)N
135959,InChI=1S/C6H7N5O2/c7-6-10-4-3(5(13)11-6)9-2(12)1-8-4/h1H2_(H_9_12)(H4_7_8_10_11_13),JLRDKNBQJOODBP-UHFFFAOYSA-N,C1C(=O)NC2=C(N1)NC(=NC2=O)N,C1C(=O)NC2=C(N1)NC(=NC2=O)N
136487,InChI=1S/C7H14N2O3/c1-4(2)6(8)7(12)9-3-5(10)11/h4_6H_3_8H2_1-2H3_(H_9_12)(H_10_11),IOUPEELXVYPCPG-UHFFFAOYSA-N,CC(C)C(C(=O)NCC(=O)O)N,CC(C)C(C(=O)NCC(=O)O)N
136488,InChI=1S/C5H10N2O4/c6-3(2-8)5(11)7-1-4(9)10/h3_8H_1-2_6H2_(H_7_11)(H_9_10),WOUIMBGNEUWXQG-UHFFFAOYSA-N,C(C(C(=O)NCC(=O)O)N)O,C(C(C(=O)NCC(=O)O)N)O
137276,InChI=1S/C8H16N2O3/c1-4(2)6(8(12)13)10-7(11)5(3)9/h4-6H_9H2_1-3H3_(H_10_11)(H_12_13),LIWMQSWFLXEGMA-UHFFFAOYSA-N,CC(C)C(C(=O)O)NC(=O)C(C)N,CC(C)C(C(=O)O)NC(=O)C(C)N
